"","D1","D2","D3","D4","D5","fear_mean","disgust_mean","approach_mean"
"Sp_001",-0.171266463519253,-0.025718124724928,0.0657573200519397,0.204464938733482,-0.507149216545518,42.5555555555556,46.1944444444444,30.6666666666667
"Sp_002",-0.171330432332591,-0.403944863602312,-0.222712957270655,-0.307167571884911,0.0529727738436813,61.6447368421053,70.3552631578947,47.8815789473684
"Sp_003",-0.0264314086265847,-0.0314892464102424,0.91190977210235,0.227294262458365,0.119492163910548,14.84,15.32,9.89333333333333
"Sp_004",-0.130647365026948,-0.321492296894604,0.1140107266242,0.0575001802799144,0.496655622507853,59.4210526315789,73.1052631578947,53.8684210526316
"Sp_005",-0.144611142226089,-0.150860473108864,-0.0627982941295615,0.201583123966957,-0.468754468006207,28.1153846153846,30.1794871794872,28.3205128205128
"Sp_006",0.510923861626863,0.288219609312621,-0.0858059879099751,-0.445285765980019,-0.166652658784627,77.0731707317073,79.6585365853659,69
"Sp_007",-0.587762808352961,-0.207868351289344,0.111853127309854,-0.412185002441443,0.265256584592436,16.7666666666667,18.5333333333333,15.8666666666667
"Sp_008",-0.609937861566995,-0.365550042733256,0.259821710629841,-0.361464640921319,-0.00407687604592664,22.2121212121212,29.6666666666667,21.9393939393939
"Sp_009",-0.0152539465060633,-0.211509490518913,-0.223098890740082,0.0196535728982883,0.442363348539103,57.4883720930233,61.7906976744186,46.8139534883721
"Sp_010",0.00770980918200966,-0.0299754135432538,-0.533222604556186,0.0986943220113199,0.0855425282990558,58.1372549019608,68.6274509803922,47.1176470588235
"Sp_011",-0.295043742038207,-0.395796723266582,0.220263276741167,-0.139178952000248,-0.395216402039005,58.4166666666667,74.5277777777778,49.9722222222222
"Sp_012",-0.0282467740881105,0.11622992210053,0.278737251796163,0.246708015656221,-0.293025390995434,65.6923076923077,70.7435897435897,50.9487179487179
"Sp_013",-0.242276137615607,-0.482490517949357,-0.285855905778153,-0.0912126549390002,0.0516717041185771,44,51.804347826087,34.6521739130435
"Sp_014",0.218504968825902,-0.326854279199375,-0.307231019549183,-0.208459241247982,0.219106860264245,65.9565217391304,76.1739130434783,58.0869565217391
"Sp_015",0.114239967849582,0.621261029968937,0.31005556273213,-0.219958579619428,0.0905822912656345,25.21875,25.34375,12.71875
"Sp_016",-0.682701762568747,-0.00022121654208967,0.128467323498284,-0.368160878357564,0.0128692946451689,18.4647887323944,26.5633802816901,14.9859154929577
"Sp_017",0.26597523410518,0.103607274959063,0.225979903655804,-0.470122039969088,0.32986292666261,53.969696969697,82.0454545454545,49.4393939393939
"Sp_018",-0.72215038937881,-0.233095856919259,-0.0871121512746834,-0.107762949373404,-0.203956379141473,17.9574468085106,22.4255319148936,19.936170212766
"Sp_019",-0.434568785297081,-0.00596911438090494,-0.103069068669144,0.194434489740738,0.386181099169967,44.2077922077922,52.2727272727273,38.7532467532468
"Sp_020",-0.382819747660083,0.148767390253069,-0.0437215991507086,-0.017524196434601,0.47382137185573,45.5882352941176,50.3921568627451,40.7843137254902
"Sp_021",-0.0971865820813592,0.242562373515742,-0.0232318776050119,0.483337459533827,0.147678793194883,47.3617021276596,54.1914893617021,34.8297872340426
"Sp_022",-0.0602853469048706,0.166951439840256,0.13452113107813,0.456686492117884,0.379945351568794,51.375,59.8958333333333,51.8958333333333
"Sp_023",0.543684580631668,0.459875960218024,-0.0818813839501843,-0.207053302247158,0.00664410602066723,76.7380952380952,75.0476190476191,56.9285714285714
"Sp_024",-0.0546434002945227,0.161347259894442,0.0218973453314105,0.249682313266841,0.547721502067317,48.4307692307692,57.7538461538462,38.4769230769231
"Sp_025",0.463353027587228,0.014465177395891,0.0356260255914919,0.028207036553832,0.49752324711159,73.0571428571429,80.9142857142857,58.6285714285714
"Sp_026",0.0906675421662441,-0.195206268454386,-0.123877200459844,0.291977875203498,0.51373942133675,61.3142857142857,62.9428571428571,49.9142857142857
"Sp_027",0.31768826930777,-0.209716238341929,-0.127929154827152,0.43101404728633,-0.0485610959592718,58.2857142857143,64.5833333333333,45.6904761904762
"Sp_028",0.625574633871554,0.19655846048752,-0.127078849301643,-0.232194430082805,-0.0438856437228294,66.325,71.075,57.9
"Sp_029",0.59844832066339,0.355730539879761,-0.206371582021303,-0.205698065078217,-0.116399468428608,68.7391304347826,73.8913043478261,53.3260869565217
"Sp_030",0.202365539480251,0.38330700482921,-0.441549118436716,-0.054650979236717,-0.24169509585002,51.1111111111111,57.5833333333333,44.0833333333333
"Sp_031",0.149921042849719,-0.348355423423095,-0.190159005351967,-0.0370190670168765,0.434907554416261,66.125,73.5833333333333,62.875
"Sp_032",-0.293380064520175,0.377917539230539,0.803269485978921,0.108814752829377,-0.0893526911596658,38.448275862069,44.4137931034483,34.4137931034483
"Sp_033",-0.333423683314701,0.0713215906274372,0.335958690250377,0.208429615128155,-0.253374771558792,33.4333333333333,37.2777777777778,32.9888888888889
"Sp_034",-0.320689201500255,0.099310830623351,0.187009874931513,0.420604049426373,0.078089937923896,34.6896551724138,37.2758620689655,31
"Sp_035",-0.349668795426427,0.112683731962109,-0.276059602788451,0.20775101635224,0.179472054255835,39.2051282051282,48.1025641025641,36.5128205128205
"Sp_036",-0.414527101869935,-0.196328325859088,-0.325455902678958,0.168275031127824,0.193644812227577,45.05,48.7,32.65
"Sp_037",0.238007570744946,0.390111512850881,-0.282013762340404,-0.130521004901073,0.407548095946486,72.1111111111111,76.9166666666667,57
"Sp_038",-0.18155258587678,0.151021197684598,0.273637244266544,0.54170740525228,-0.0137515104877869,40.3611111111111,48.8888888888889,37.1388888888889
"Sp_039",-0.0168286148833996,-0.225879608076796,-0.242410867360541,0.28648430031144,0.376837770147094,56.375,60.05,50.8
"Sp_040",0.715668386485305,0.0871121103353985,0.0916215839791092,-0.0335581934593234,-0.0479678278917227,75.72,75.38,56
"Sp_041",0.0898533320116893,0.111136012174213,0.126507600051205,0.52948032177952,-0.207137545491542,54.8048780487805,59.1951219512195,41.4634146341463
"Sp_042",-0.312477728733527,-0.230939750609737,-0.26104087162133,0.173809272296713,-0.370357903800994,48.0123456790123,58.358024691358,40.4938271604938
"Sp_043",-0.174304606257741,-0.0272324912865795,-0.443869983184295,0.393270600182501,-0.0893847149460245,36.6666666666667,43.4166666666667,31.3888888888889
"Sp_044",-0.231763377460091,-0.469542665450157,-0.0718320008076045,0.185810467755598,0.174098754407313,59.5142857142857,66.2285714285714,52.2285714285714
